Title: Multimodal Conversational Agent for Older Adults' Behavioral Change, Link: https://dl.acm.org//doi/10.1145/3395035.3425315
Title: Let's Talk It Out: A Chatbot for Effective Study Habit Behavioral Change, Link: https://dl.acm.org//doi/10.1145/3449171
Title: Attention-Guidance Method Based on Conforming Behavior of Multiple Virtual Agents for Pedestrians, Link: https://dl.acm.org//doi/10.1145/3472306.3478346
Title: Motivating Health Behavior Change with Humorous Virtual Agents, Link: https://dl.acm.org//doi/10.1145/3383652.3423915
Title: Empathy Is All You Need: How a Conversational Agent Should Respond to Verbal Abuse, Link: https://dl.acm.org//doi/10.1145/3313831.3376461
Title: Trusting Virtual Agents: The Effect of Personality, Link: https://dl.acm.org//doi/10.1145/3232077
Title: Plug and Play Conversations: The Micro-Conversation Scheme for Modular Development of Hybrid Conversational Agent, Link: https://dl.acm.org//doi/10.1145/3584931.3606998
Title: Argumentation is More Important than Appearance for Designing Culturally Tailored Virtual Agents, Link: https://dl.acm.org//doi/10.5555/3398761.3399034
Title: Exploring the Use of a Voice-based Conversational Agent to Empower Adolescents with Autism Spectrum Disorder, Link: https://dl.acm.org//doi/10.1145/3411764.3445116
Title: Human-in-the-Loop Interaction for continuously Improving Generative Model in Conversational Agent for Behavioral Intervention, Link: https://dl.acm.org//doi/10.1145/3581754.3584142
Title: Explaining reasoning algorithms with persuasiveness: a case study for a behavioural change system, Link: https://dl.acm.org//doi/10.1145/3341105.3373910
Title: Shared Planning for building Human-agent Therapeutic Alliance, Link: https://dl.acm.org//doi/10.1145/3267851.3267873
Title: "Give Me the Support I Want!": The Effect of Matching an Embodied Conversational Agent's Social Support to Users' Social Support Needs in Fostering Positive User-Agent Interaction, Link: https://dl.acm.org//doi/10.1145/3284432.3284462
Title: Addressing Sexist Attitudes on a College Campus through Virtual Role-Play with Digital Doppelgangers, Link: https://dl.acm.org//doi/10.1145/3267851.3267913
Title: Visual Similarity for Socially Interactive Agents that Support Self-Awareness, Link: https://dl.acm.org//doi/10.1145/3570945.3607329
